Country Name,Year,Population
India,1980,687354025.0
India,1981,703696250.0
India,1982,720313473.0
India,1983,737372681.0
India,1984,754875449.0
India,1985,772647793.0
India,1986,790689978.0
India,1987,808931270.0
India,1988,827342990.0
India,1989,846039529.0
India,1990,864972221.0
India,1991,883927600.0
India,1992,902957070.0
India,1993,922118387.0
India,1994,941163767.0
India,1995,960301044.0
India,1996,979678458.0
India,1997,999133762.0
India,1998,1018665080.0
India,1999,1038225823.0
India,2000,1057922733.0
India,2001,1077898575.0
India,2002,1097600380.0
India,2003,1116803006.0
India,2004,1135991513.0
India,2005,1154676322.0
India,2006,1172878890.0
India,2007,1190676021.0
India,2008,1207930964.0
India,2009,1225524753.0
India,2010,1243481564.0
India,2011,1261224954.0
India,2012,1278674502.0
India,2013,1295829511.0
India,2014,1312277191.0
India,2015,1328024498.0
India,2016,1343944296.0
India,2017,1359657400.0
India,2018,1374659064.0
India,2019,1389030312.0
India,2020,1402617695.0
India,2021,1414203896.0
India,2022,1425423212.0
India,2023,1438069596.0
India,2024,1450935791.0
Malawi,1980,6265529.0
Malawi,1981,6516454.0
Malawi,1982,6778879.0
Malawi,1983,7051709.0
Malawi,1984,7332810.0
Malawi,1985,7620508.0
Malawi,1986,7906480.0
Malawi,1987,8293174.0
Malawi,1988,8753262.0
Malawi,1989,9176220.0
Malawi,1990,9545852.0
Malawi,1991,9844227.0
Malawi,1992,10135079.0
Malawi,1993,10284024.0
Malawi,1994,10164894.0
Malawi,1995,10150117.0
Malawi,1996,10352228.0
Malawi,1997,10562035.0
Malawi,1998,10792876.0
Malawi,1999,11047804.0
Malawi,2000,11315942.0
Malawi,2001,11593058.0
Malawi,2002,11880440.0
Malawi,2003,12181574.0
Malawi,2004,12500737.0
Malawi,2005,12840031.0
Malawi,2006,13198701.0
Malawi,2007,13576343.0
Malawi,2008,13976417.0
Malawi,2009,14395788.0
Malawi,2010,14826463.0
Malawi,2011,15265022.0
Malawi,2012,15709577.0
Malawi,2013,16161816.0
Malawi,2014,16621538.0
Malawi,2015,17085587.0
Malawi,2016,17557739.0
Malawi,2017,18039715.0
Malawi,2018,18528081.0
Malawi,2019,19025752.0
Malawi,2020,19533888.0
Malawi,2021,20047258.0
Malawi,2022,20568728.0
Malawi,2023,21104482.0
Malawi,2024,21655286.0
United Kingdom,1980,56314216.0
United Kingdom,1981,56333829.0
United Kingdom,1982,56313641.0
United Kingdom,1983,56332848.0
United Kingdom,1984,56422072.0
United Kingdom,1985,56550268.0
United Kingdom,1986,56681396.0
United Kingdom,1987,56802050.0
United Kingdom,1988,56928327.0
United Kingdom,1989,57076711.0
United Kingdom,1990,57247586.0
United Kingdom,1991,57424897.0
United Kingdom,1992,57580402.0
United Kingdom,1993,57718614.0
United Kingdom,1994,57865745.0
United Kingdom,1995,58019030.0
United Kingdom,1996,58166950.0
United Kingdom,1997,58316954.0
United Kingdom,1998,58487141.0
United Kingdom,1999,58682466.0
United Kingdom,2000,58892514.0
United Kingdom,2001,59119673.0
United Kingdom,2002,59370479.0
United Kingdom,2003,59647577.0
United Kingdom,2004,59987905.0
United Kingdom,2005,60401206.0
United Kingdom,2006,60846820.0
United Kingdom,2007,61322463.0
United Kingdom,2008,61806995.0
United Kingdom,2009,62276270.0
United Kingdom,2010,62766365.0
United Kingdom,2011,63258810.0
United Kingdom,2012,63711000.0
United Kingdom,2013,64139000.0
United Kingdom,2014,64620000.0
United Kingdom,2015,65088000.0
United Kingdom,2016,65607000.0
United Kingdom,2017,65966000.0
United Kingdom,2018,66289000.0
United Kingdom,2019,66631000.0
United Kingdom,2020,66744000.0
United Kingdom,2021,66984000.0
United Kingdom,2022,67604000.0
United Kingdom,2023,68492000.0
United Kingdom,2024,69226000.0
World,1980,4437602892.0
World,1981,4516926190.0
World,1982,4599539241.0
World,1983,4682924536.0
World,1984,4766040300.0
World,1985,4850740788.0
World,1986,4937711562.0
World,1987,5027030278.0
World,1988,5117167006.0
World,1989,5207654866.0
World,1990,5299246757.0
World,1991,5388496229.0
World,1992,5477123966.0
World,1993,5564778621.0
World,1994,5650853178.0
World,1995,5736505517.0
World,1996,5822614627.0
World,1997,5908466558.0
World,1998,5994040064.0
World,1999,6078404337.0
World,2000,6161884811.0
World,2001,6245112906.0
World,2002,6327557399.0
World,2003,6409750441.0
World,2004,6492769815.0
World,2005,6575841506.0
World,2006,6659977025.0
World,2007,6744489399.0
World,2008,6830513541.0
World,2009,6916589116.0
World,2010,7001266876.0
World,2011,7087120034.0
World,2012,7176929184.0
World,2013,7265892332.0
World,2014,7354068030.0
World,2015,7441677465.0
World,2016,7528879985.0
World,2017,7614523410.0
World,2018,7697233736.0
World,2019,7778008621.0
World,2020,7854748424.0
World,2021,7920514854.0
World,2022,7989545217.0
World,2023,8064057930.0
World,2024,8141808945.0
